edge|边缘, 尖锐, 刀刃, 优势
edible|食品, 食物
edit|编辑, 编校, 修订, 剪辑
edition|版本, 版, 翻版
editor|编者, 编辑, 主笔, 编辑器, 编…
editorial|社论, 评论
educate|教育, 培养, 训练
effect|结果, 影响, 效果, 印象
effective|有效的, 有力的, 实际的
efficiency|效率, 效能, 功效
efficient|有效率的, 能干的
ego|自我
either|(两者之中)任一的, (两者之中)各一的
eject|逐放, 放逐, 喷射
elaborate|精细的, 详尽的, 精心计划(或制作)的
elapse|逝去, 过去
elastic|松紧带, 橡皮筋
elbow|手肘, 弯头, 扶手
elect|当选人, 被选的人
electrical|电的, 有关电的
electrician|电学家, 电气技师, 电工
electron|电子
electronic|电子的
elegant|优雅的, 端庄的, 高雅的
element|元件, 元素, 要素
elementary|初步的, 基本的
elevate|举起, 提拔, 鼓舞
elevator|电梯, 升降机
elicit|引出, 推导出, 引起
eligible|有资格当选的, 合格的
eliminate|除去, 排除, 剔除, 消除
elite|精华, 精锐, 中坚分子
eloquent|雄辩的, 有口才的, 有说服力的
else|别的, 其他的
elsewhere|在别处
email|电子信函
embark|乘船, 着手, 从事, 上飞机
embarrass|使困窘, 使局促不安, 阻碍
