bulk|大小, 体积, 大块, 大多数
bull|公牛
bullet|子弹
bulletin|公告, 布告, 公报
bully|欺凌弱小者, 土霸
bump|撞击, 肿块
bunch|串, 束
bundle|捆, 束
burden|负担, 重载, 担子, 责任
bureau|局, 办公处
bureaucracy|官僚主义，官僚体制
burglar|窃贼
burn|烧, 烧毁, 烧伤
business|生意, 事情, 业务, 商业, 商行…
busy|忙碌的, 热闹的, 没空的
butterfly|蝴蝶
buzz|嗡嗡声, 流言
bypass|旁路
cabin|小屋, 客舱
cabinet|橱柜, 内阁
cable|电缆, 海底电报, 缆, 索
cafeteria|自助餐厅
cake|蛋糕, 块, 饼
calcium|钙
calculate|计算, 预测, 计划, 打算
