commission|委任状, 任官令, 所委职责, 佣金…
commit|委托(托付), 犯罪, 指派...作…
committee|委员会
commodity|农产品, 商品, 有用的物品
commonplace|寻常事, 老生常谈, 普通的东西
commonwealth|共和国
communicate|显露, 传达, 感染
communication|交流, 交通, 通讯
community|社区, 公众, 共有, 共同体
commute|交换, 折偿, 减轻
compact|紧凑的, 紧密的, 简洁的
company|公司, 友伴, 交往, 连队, 朋友…
comparable|可比较的, 比得上的
comparative|比较的, 相对的
compare|比较, 比喻, 对照
comparison|比较, 对照, 比喻
compartment|分隔间, 卧车包房, 防水舱隔
compass|指南针, 范围, 音域
compassion|同情, 怜悯
compatible|能共处的, 可并立的, 适合的
compel|强迫, 迫使
compensate|偿还, 补偿, 付报酬
compete|竞争, 对抗
competent|能干的, 胜任的, 有效的, 足够的
competition|竞争, 竞赛
competitive|竞争的
compile|编译, 编辑, 编纂, 收集
complain|抱怨, 抗议, 控诉
complaint|诉苦, 抱怨, 控诉
complement|补足物, 补语, 补数
complete|完全的, 十足的, 完成的
complex|综合体, 情结, 络合物
complicate|弄复杂, 使错综, 使恶化
complicated|复杂的
compliment|称赞, 恭维, 敬意
comply|顺从, 依从
component|元件, 组件, 成分
compose|组成, 写作, 作曲, 使平静
composite|合成的, 混合成的, 菊科的
composition|作文, 创作, 组成
compound|混合物, 复合词, 化合物, 院子
comprehend|理解, 包括
comprehension|理解, 包含
comprehensive|广泛的, 有理解力的, 综合的
compress|压缩, 压紧
comprise|包含, 构成
compromise|妥协, 折中, 折中方案, 和解
compulsory|被强制的, 强迫的, 义务的
compute|计算, 估算
conceal|隐藏, 掩盖, 隐瞒
concede|承认, 退让
conceive|构思, 认为
concentrate|浓缩, 精选
